Race Number,Class,Boat Type,Distance,Round,ResultsPage,Place,Club,Country,Time,Time (s)
027,Elite Men,V6,1500,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,4,PACIFICOS,Chile,7:51.92,471.92
027,Elite Men,V6,1500,Semi 1 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/027,5,USA,USA,8:30.98,510.98
028,Elite Men,V6,1500,Semi 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/028,1,Aotearoa Nz,New Zealand,7:43.36,463.36
028,Elite Men,V6,1500,Semi 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/028,2,Canada,Canada,7:58.28,478.28
028,Elite Men,V6,1500,Semi 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/028,3,Singapore,Singapore,8:07.83,487.83
028,Elite Men,V6,1500,Semi 2 / 2,https://www.liveresults.co.nz/competition/438/schedule/race/028,4,Germany,Germany,8:12.98,492.98
029,Master 75 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/029,1,AMUNDSON Jon,Canada,2:44.76,164.76
029,Master 75 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/029,2,HERDERSCHEE Del,Great Britain,2:51.27,171.27
029,Master 75 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/029,3,VALE Theo,New Zealand,3:02.97,182.97
029,Master 75 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/029,4,MICHELUCCI Carlos,Brazil,3:17.16,197.16
029,Master 75 Men,V1,500,Heat 1 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/029,DNS,,,,null
030,Master 75 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/030,1,COURT John,Great Britain,2:52.11,172.11
030,Master 75 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/030,2,MACHACEK Stan,Canada,2:54.82,174.82
030,Master 75 Men,V1,500,Heat 2 / 3,https://www.liveresults.co.nz/competition/438/schedule/race/030,3,HOLT Craig,USA,2:57.85,177.85
